Data Management, ci-repo-dst-mdm-profisee_merge_20220429_.1, ci-repo-dst-mdm-profisee, succeeded, 04/29/2022 19:11:03
Data Management, ci-repo-dst-snowflake-cdw_merge_20220428_.1, ci-repo-dst-snowflake-cdw, failed, 04/29/2022 00:06:18
Data Management, ci-repo-dst-mdm-profisee_hotfix-20220428-match-rule_20220428_.2, ci-repo-dst-mdm-profisee, succeeded, 04/28/2022 20:08:53
Data Management, ci-repo-dst-mdm-profisee_hotfix-20220428-match-rule_20220428_.1, ci-repo-dst-mdm-profisee, succeeded, 04/28/2022 17:19:44
Data Management, ci-repo-dst-snowflake-cdw_merge_20220427_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/27/2022 19:35:23
Data Management, ci-repo-dst-snowflake-cdw_develop_20220427_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/27/2022 18:16:51
Data Management, ci-repo-dst-adf-cdw-load_develop_20220426_17_47.1, ci-repo-dst-adf-cdw-load, succeeded, 04/26/2022 21:47:30
Data Management, ci-repo-dst-adf-cdw-load_merge_20220426_17_43.1, ci-repo-dst-adf-cdw-load, succeeded, 04/26/2022 21:44:05
Data Management, ci-repo-dst-mdm-profisee_release-1.2_20220426_.1, ci-repo-dst-mdm-profisee, succeeded, 04/26/2022 17:01:42
Data Management, ci-repo-dst-mdm-profisee_develop_20220426_.1, ci-repo-dst-mdm-profisee, succeeded, 04/26/2022 17:01:11
Data Management, ci-repo-dst-mdm-profisee_bugfix-0426-mdm-deployment_20220426_.2, ci-repo-dst-mdm-profisee, succeeded, 04/26/2022 14:38:56
Data Management, ci-repo-dst-mdm-profisee_bugfix-0426-mdm-deployment_20220426_.1, ci-repo-dst-mdm-profisee, succeeded, 04/26/2022 14:05:42
Data Management, ci-repo-dst-snowflake-cdw_develop_20220425_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:39:03
Data Management, ci-repo-dst-snowflake-cdw_merge_20220425_.4, ci-repo-dst-snowflake-cdw, failed, 04/25/2022 20:38:25
Data Management, ci-repo-dst-snowflake-cdw_bugfix-3175-ContactRoleAddressFix_20220425_.3, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:38:08
Data Management, ci-repo-dst-snowflake-cdw_release-1.8.1_20220425_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:31:21
Data Management, ci-repo-dst-snowflake-cdw_merge_20220425_.3, ci-repo-dst-snowflake-cdw, failed, 04/25/2022 20:30:56
Data Management, ci-repo-dst-snowflake-cdw_merge_20220425_.2, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:24:03
Data Management, ci-repo-dst-snowflake-cdw_bugfix-3175-ContactRoleAddressFix_20220425_.2, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:09:20
Data Management, ci-repo-dst-snowflake-cdw_bugfix-3175-ContactRoleAddressFix_20220425_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:03:49
Data Management, ci-repo-dst-snowflake-cdw_merge_20220425_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:03:07
Data Management, ci-repo-dst-snowflake-cdw_bugfix-3175-ContactRoleAddressViewUpdate_20220425_.2, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 20:02:48
Data Management, ci-repo-dst-snowflake-cdw_bugfix-3175-ContactRoleAddressViewUpdate_20220425_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/25/2022 19:54:59
Data Management, ci-repo-dst-mdm-profisee_release-1.2_20220422_.1, ci-repo-dst-mdm-profisee, succeeded, 04/22/2022 19:21:08
